genes	bicluster1	bicluster2	bicluster3
g0	1	0	0
g1	1	0	0
g2	1	0	0
g3	1	0	0
g4	1	0	0
g5	1	0	0
g6	1	0	0
g7	1	0	0
g8	1	0	0
g9	1	0	0
g10	1	0	0
g11	1	0	0
g12	1	0	0
g13	1	0	0
g14	1	0	0
g15	1	0	0
g16	1	0	0
g17	1	0	0
g18	1	0	0
g19	1	0	0
g20	0	1	0
g21	0	1	0
g22	0	1	0
g23	0	1	0
g24	0	1	0
g25	0	1	0
g26	0	1	0
g27	0	1	0
g28	0	1	0
g29	0	1	0
g30	0	1	0
g31	0	1	0
g32	0	1	0
g33	0	1	0
g34	0	1	0
g35	0	1	0
g36	0	1	0
g37	0	1	0
g38	0	1	0
g39	0	1	0
g40	0	0	1
g41	0	0	1
g42	0	0	1
g43	0	0	1
g44	0	0	1
g45	0	0	1
g46	0	0	1
g47	0	0	1
g48	0	0	1
g49	0	0	1
g50	0	0	1
g51	0	0	1
g52	0	0	1
g53	0	0	1
g54	0	0	1
g55	0	0	1
g56	0	0	1
g57	0	0	1
g58	0	0	1
g59	0	0	1
g60	0	0	0
g61	0	0	0
g62	0	0	0
g63	0	0	0
g64	0	0	0
g65	0	0	0
g66	0	0	0
g67	0	0	0
g68	0	0	0
g69	0	0	0
g70	0	0	0
g71	0	0	0
g72	0	0	0
g73	0	0	0
g74	0	0	0
g75	0	0	0
g76	0	0	0
g77	0	0	0
g78	0	0	0
g79	0	0	0
g80	0	0	0
g81	0	0	0
g82	0	0	0
g83	0	0	0
g84	0	0	0
g85	0	0	0
g86	0	0	0
g87	0	0	0
g88	0	0	0
g89	0	0	0
g90	0	0	0
g91	0	0	0
g92	0	0	0
g93	0	0	0
g94	0	0	0
g95	0	0	0
g96	0	0	0
g97	0	0	0
g98	0	0	0
g99	0	0	0
g100	0	0	0
g101	0	0	0
g102	0	0	0
g103	0	0	0
g104	0	0	0
g105	0	0	0
g106	0	0	0
g107	0	0	0
g108	0	0	0
g109	0	0	0
g110	0	0	0
g111	0	0	0
g112	0	0	0
g113	0	0	0
g114	0	0	0
g115	0	0	0
g116	0	0	0
g117	0	0	0
g118	0	0	0
g119	0	0	0
g120	0	0	0
g121	0	0	0
g122	0	0	0
g123	0	0	0
g124	0	0	0
g125	0	0	0
g126	0	0	0
g127	0	0	0
g128	0	0	0
g129	0	0	0
g130	0	0	0
g131	0	0	0
g132	0	0	0
g133	0	0	0
g134	0	0	0
g135	0	0	0
g136	0	0	0
g137	0	0	0
g138	0	0	0
g139	0	0	0
g140	0	0	0
g141	0	0	0
g142	0	0	0
g143	0	0	0
g144	0	0	0
g145	0	0	0
g146	0	0	0
g147	0	0	0
g148	0	0	0
g149	0	0	0
g150	0	0	0
g151	0	0	0
g152	0	0	0
g153	0	0	0
g154	0	0	0
g155	0	0	0
g156	0	0	0
g157	0	0	0
g158	0	0	0
g159	0	0	0
g160	0	0	0
g161	0	0	0
g162	0	0	0
g163	0	0	0
g164	0	0	0
g165	0	0	0
g166	0	0	0
g167	0	0	0
g168	0	0	0
g169	0	0	0
g170	0	0	0
g171	0	0	0
g172	0	0	0
g173	0	0	0
g174	0	0	0
g175	0	0	0
g176	0	0	0
g177	0	0	0
g178	0	0	0
g179	0	0	0
g180	0	0	0
g181	0	0	0
g182	0	0	0
g183	0	0	0
g184	0	0	0
g185	0	0	0
g186	0	0	0
g187	0	0	0
g188	0	0	0
g189	0	0	0
g190	0	0	0
g191	0	0	0
g192	0	0	0
g193	0	0	0
g194	0	0	0
g195	0	0	0
g196	0	0	0
g197	0	0	0
g198	0	0	0
g199	0	0	0
