genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149
g0	0.838280946347	0.911932888112	1.43684746346	1.54428068856	1.59774330789	1.61112063497	1.62796411357	1.64235805529	1.8832655891	2.00466251704	2.04121609984	2.20011941942	2.24733765846	2.31547277069	2.42816840799	2.52228579308	2.60973839929	2.84182514705	2.84196934304	3.75264232723	0.101308198257	0.595359371318	-0.0559911221362	-0.224946752434	0.479222123076	0.673804886151	0.530815134326	0.238912798512	-2.75417230603	-1.27952278711	-0.531056424168	-1.95418311895	1.16813368776	1.9211785908	-0.718526638018	0.661486016433	-1.11578447074	0.0092084125374	-0.749983612765	-0.361005481945	-0.415725841547	1.3632513878	-1.17421582785	0.960177586079	-1.57863120864	-1.43061735392	0.938431804958	-1.99521365577	0.454236311739	0.554580874555	-0.436475533569	-1.57232921973	0.500618624341	-0.240606153818	1.52643049864	1.85655028311	-0.166904059771	1.2070689316	-0.926734530343	-0.694240786049	-1.11043322462	-0.31910140349	0.728075780929	1.36360436807	1.38720478721	0.502133677531	0.00685705984764	0.104557630099	0.910752628723	0.107828040783	-1.06799923983	-0.253461591705	1.44404090987	1.85060826549	-0.226981818768	0.238002651916	0.415700583005	0.592575190119	-0.936276047585	-0.01974730588	0.324203037156	1.0123546783	1.45103184182	1.2124480199	-2.19647612877	-0.698456542079	-0.798304711636	0.00095021447024	1.4618770043	0.202553032723	-2.21921767607	-0.073061723782	0.19579003587	-0.838882769234	0.110832791715	-2.68838151491	1.4701666261	1.97402837673	0.271085529115	0.432690928208	-1.78725343659	0.342574887601	-0.516143640972	-1.17179305992	-0.175455381562	0.29152266814	-0.26166713296	1.21157028465	1.29519910075	0.962397573262	1.6971535479	0.435535525112	-1.04612227835	0.32991756715	0.243903712361	2.28006040673	0.545291603336	-0.655883478181	1.31864434478	0.744887979051	1.0838022448	-1.7741810653	-1.10118079485	0.721649606693	0.971227217047	0.642379979495	0.264944689756	-1.14455463124	-0.175503547389	1.52453749479	0.0862550053406	-0.683286742526	0.329959306859	-0.729440210009	1.65964783134	-2.25236745707	-0.145932841053	0.954021052644	0.492151499807	-0.191284709736	1.35931723722	1.14957413	-0.0828479109602	2.58815910579	0.532790283219	1.05672586311	-0.664705083797	1.84019133348	-0.235022325752	1.21053251424
g1	0.22352697668	0.688543281294	0.993037305265	1.24686606997	1.63129105907	1.66294695279	1.6972376949	1.93968383111	2.01920097165	2.17217589125	2.17641539732	2.192210274	2.47126469929	2.55095642321	2.60598580711	2.64614848465	2.98504615157	3.14257346543	3.84103854617	4.52944373481	-0.320289623173	-1.29335823682	2.12108033945	1.4726270649	0.791018865308	1.08460594547	0.27518045721	1.69229838618	-0.0937269985781	1.4319868081	-0.152575875673	-1.6363483932	-1.19003426053	-0.486120545738	0.1255305072	0.833217885084	0.965932920461	1.51949883461	-0.399453778288	1.22766283887	-0.564686870163	-0.638701708563	1.11698939506	0.0761653703882	-0.269880551171	0.821048725476	0.843222024719	-1.18946352088	-0.0872250381445	0.0725000286464	-1.58396577257	-0.536215273967	0.107643466081	-0.774287710786	1.49994622844	1.18221831116	-1.14864597203	-0.797654542169	-0.0808836630219	0.200921226024	-1.12622898584	0.624610714577	1.61268415939	0.729356445736	0.0299958746594	-0.534095287986	1.46638343753	0.0725419646917	0.734933037478	-0.877822739433	-1.27824710392	0.0377046025046	0.965731806276	0.0258942942393	0.700395517258	1.52518486632	0.78473396211	-0.560634622774	0.839222996395	-1.02057492712	-1.13823163835	-0.144615496423	0.0464131937011	-0.178315971064	-2.37354561739	-1.1479687244	-1.27672955701	-0.954295119197	-0.978800639462	-2.31927146653	0.526082407829	0.335729619229	-0.15571550683	-2.40701018015	2.54422222328	-0.970241213015	1.33347701439	1.07817325495	0.69967513415	1.30740831983	-0.998268468533	0.102084891418	0.0675670708256	1.89552210062	-0.205599648489	-0.566231191155	0.525961883014	-0.318709670268	-1.0620854848	-0.415589584977	-0.944476479633	0.0492108219484	0.516959198916	0.646585601665	-0.986796493805	1.04204062494	0.884827121573	-0.68586736936	0.854177340876	1.18275045157	0.841810202147	0.432182273967	2.35923395392	2.95600625098	-0.570286228304	0.103116115776	-0.724141294578	2.16862880487	0.550707128961	-0.458879368919	-0.0910881317071	0.188018984581	2.4488960979	-0.633332631594	-1.36893338104	-0.186457021061	0.900299664986	0.157755912943	0.362756804541	0.965201937588	0.273779616213	0.0905364922759	-0.196250390467	0.884297909631	0.516314252906	-0.541798083992	-0.188999290743	-1.41029407743	1.11234614163	-1.34184667426
g2	-0.143445951543	0.690875780396	1.27462820501	1.36584019504	1.39749619306	1.43503309665	1.62854260639	1.7467597861	1.74688731369	1.82499182632	2.03892060367	2.23743809464	2.45891378097	2.47836350846	2.69969486788	2.86667629607	2.91720615808	2.93140500072	3.06245193012	3.2822028681	-2.83508692727	-0.544307360868	-0.855865026363	0.725945886822	-1.46561890882	1.54423632644	-1.30842148455	-0.988978899117	1.01635275458	-0.523132491165	-1.41083916232	-1.6973378568	-0.240767673736	0.313160823813	-0.541857809766	0.025042867475	0.0120705954683	1.50788866371	1.38316989057	0.502892195423	-1.17327761579	-0.523544842766	1.0388312979	1.21830701396	0.524941420669	1.05021620969	0.343673804711	1.15994617469	-0.399495067744	-0.358802665704	0.00316601265633	2.02063202774	0.520383341951	-0.736205468896	-1.62795310206	0.116864775741	-0.144700943002	-1.10847537518	0.545167013904	0.622901398662	1.16723726044	0.252132412715	0.0753040497498	-0.629979063721	0.0155329406659	0.949878736933	-1.7722280128	-0.0289662573279	-0.68390247512	0.960386739458	-0.1924151492	-0.593664519611	0.686890730095	0.976998156638	-1.52468551775	1.27310849166	-0.146945372916	-0.334386774343	-0.342995257578	-1.61039823213	0.611048371948	0.296285874302	-0.335910348458	-0.0910918596484	1.11223569683	0.571760243652	1.02727163267	-1.37100986276	-1.36580696876	0.574745071752	0.100436568884	1.57512181803	-1.89258073706	-0.0597374204083	1.04008881092	-0.282110686113	-0.875825427195	-0.47691470361	-0.82550089799	-0.592386676119	-0.0283652843717	-0.0853107157637	-1.19151646682	-0.0021553999004	1.1242610724	0.691319247973	-1.33492444533	-1.06874927492	2.19724960541	-0.694287083396	-1.15893586616	-0.201344591332	-0.148796925544	-1.26761531715	-0.0817853984601	-0.274533923922	1.10820329272	0.162193737107	-0.659848472103	1.13970679123	-2.52378586464	-1.26492031984	-0.768242381243	-0.244648981072	-0.601922994264	-0.994515795911	0.998721401561	-0.51229547707	-0.805098277813	-0.79309832836	0.154047369025	1.18524359147	0.482692213357	1.25533650943	1.8016562285	0.0759622432173	1.35563380906	-0.147288648312	-1.77449390208	1.03647608819	-1.86296345481	-0.15773513372	-0.929749633352	-1.2327380673	0.549134120878	0.388507946617	-0.186906172665	-0.793559819362	-3.07545514439	-0.737478381403
g3	0.0337545818006	1.23712892958	1.4491507657	1.73332607367	1.90182548483	1.93032379395	2.2489566943	2.29156484906	2.29808301692	2.30951375447	2.31290712066	2.42173679545	2.4889476368	2.50291068955	2.59300973614	2.87197079569	2.8957928388	3.08701733963	3.27564236892	3.8105214429	-0.461604791327	-0.687846569096	1.40578823313	0.954942149382	0.777898398442	-0.992281395427	-0.827670125335	-0.920037231298	0.715506691329	0.0131642322896	-0.177586616505	-0.361474351593	-0.783995056281	0.00790387612976	-1.07945481172	0.529666651938	0.250316965851	-0.542572686729	-0.285524875272	0.205558498316	0.174895476007	-0.414750577196	-0.820999102907	-1.10777408013	-0.00654153953301	-0.0439267259763	0.840584948992	0.23379729332	-0.447833666712	-0.262755113596	0.92739691909	-0.527103325284	0.0870078589297	-0.921805259578	-0.573153005166	-1.65787959141	0.930893915754	-1.08246617402	-1.22608999982	0.256264810681	1.01418938284	-0.608781164386	-0.672521651566	-1.16380234226	0.767738919985	0.55784403063	1.08825219298	0.0300153509135	-0.385303348636	-0.933935538259	-0.5460984055	1.12796171931	-0.58944092723	-0.49215898317	-0.225814407756	-1.48245302209	0.095637896913	-0.408674255254	-1.42652838088	-0.0387050923974	-0.139765485245	0.602549370676	-0.972391627027	0.462300222146	-0.0450891912033	-0.541982250553	-0.309030922805	-0.0763024824721	-1.16057205068	-0.494385125939	2.12972700814	-0.877770931916	1.05804851883	1.33206075291	0.0766286366586	-0.412531146382	-0.0813502864632	-0.788256339175	0.534149537456	1.70155344119	0.667236242816	-1.22736844204	-0.534793070718	0.639071338008	0.0492399303453	0.183556818624	0.155757455124	-0.974634088306	0.721806155789	-0.0309590677187	-2.08741616472	0.0369195594822	1.21325023072	1.29425294556	1.13560783059	-1.65566042014	1.25497829743	0.283312418219	0.616711686133	1.25550841829	-0.0493237214894	1.43517132401	1.41677863697	-0.216251915308	-0.997981965924	-0.924526740228	0.860348726334	-1.90284882405	0.0113491651376	1.58771388826	-1.2433797589	1.60752795662	-0.41056310836	-1.12837644511	0.698955120975	0.00974875812499	1.03810441209	0.268231840344	1.16182850524	-2.23302584434	-0.26824634347	0.0966704979834	2.2937200927	-0.851714981909	-0.894484160161	0.127826578902	-0.194926912291	0.408516658996	0.844787673374	-0.568040595915
g4	0.851883910386	1.18180180324	1.26935576498	1.38884706049	1.44360694241	1.66622738616	1.91718433702	2.18004428887	2.18269617844	2.22980252008	2.26821619009	2.49383666592	2.51117137464	2.51998899384	2.55495544121	2.78808731796	2.87212809313	3.12827927082	3.13819352799	3.20349730569	0.51832958885	0.228281106889	-0.035571255071	0.0336656928342	-0.231773833531	-1.95288267841	0.8272095048	0.548114713415	1.08529723278	-1.67068594738	0.271018008157	-0.342681491124	1.27829015114	1.33435100087	-0.615660812522	2.69237194804	1.47838317102	-0.24391903735	0.408182157348	2.0896114221	1.61197317067	-1.44694514349	2.33226515218	-0.211115851639	0.467836316489	0.98972247382	1.1556997201	1.01166521414	0.846906164012	-0.739314836054	0.143743447956	0.0959118512982	-0.538361074288	-2.11208553335	1.13898110391	0.810879424638	2.44594185231	-0.0632929711264	0.664290031579	1.54061956478	-0.884526645207	-0.600526811893	1.75687639513	1.25527352219	-0.359784302645	-0.116141695679	-1.47901128431	0.482649536134	0.25518207577	-0.954457496881	-0.379865034489	1.2268923388	2.1070382002	1.56588038165	-0.00517724610865	0.4404727793	-0.387248645905	-0.771362952054	0.577906461716	-0.429286458118	1.63146889866	-1.62383614229	1.20618887531	0.448786171107	0.081551236753	-1.57181327055	-1.30626120962	0.359944794882	-2.23283197508	0.922685188521	-0.202535965405	-1.5976410506	-0.40397137339	-0.746251799841	-1.35326897031	1.95929622972	-1.60997961263	0.255089109312	-0.797100420399	-0.628600889608	0.0989150401269	-0.543170833772	0.41795068675	1.09864291449	0.371693879564	-1.19640492715	-1.04374551493	-0.262808676881	-0.723214017012	-0.615917498601	1.93632612499	1.10824610402	0.686927515174	0.334708825503	-0.704367037183	-1.19119757058	2.56132334635	0.116638590233	0.945733523384	-0.566557495442	1.3932703319	2.50657874848	-0.439153165062	0.817899661581	1.76529981616	-0.244480671235	0.501605696755	-0.567269792135	0.0999557322117	0.787113632921	1.00726281584	0.378582021105	-1.61809129138	-0.184308221737	1.28718852591	1.27937684455	-0.0818942369718	-0.798647576171	-2.07777122714	-2.16066781012	-0.541923001336	-0.48367118782	2.12161818042	1.31174420913	-0.933337068925	-0.564376000601	0.0787032659269	-0.522583187691	0.097146152085	0.347894569203
g5	-0.0935999383849	0.553794682776	0.634557739332	0.654214679154	0.96366012783	1.46332651317	1.55198720976	1.62662027379	1.66757745294	1.86648749375	1.93983795119	2.15220268814	2.18841014988	2.20431589967	2.20701990223	2.31334298986	2.34471889391	2.34881308426	2.41316533265	2.42216896515	-0.54563525824	2.03519464087	2.03763709281	0.0769781778767	-0.571577640063	1.0496647962	-0.778746127152	-0.013973533377	-0.827771101906	-0.156421285883	0.609838861002	-0.469706028994	0.65494358873	-0.912239937726	-1.0154779161	0.780687343218	-0.632862969585	-1.32861263174	0.133308389745	-1.5534383763	1.25033500666	0.6145501457	-0.0756760844085	-0.635287741645	-1.06129383619	0.72494652253	1.79897194154	0.173765235992	1.47404871801	0.644773808491	0.981001990283	0.719804795326	0.19253976828	-1.13124269443	0.588089304487	-1.59810441459	-2.09695755956	-0.729794558277	-1.22933112999	-0.255048201575	1.40118676178	0.331549105398	1.14672702615	-1.21181206535	0.150530719873	-0.306012842818	0.879523527524	-0.564724975971	0.858580053565	-0.620301444269	0.244739973292	2.04441897743	0.0875451077963	1.79543841844	0.713836133108	0.969275133365	-1.21795605178	1.42157040326	-1.0518598814	-0.868441219568	-0.429192309799	0.926304813745	-0.962311419442	-1.4483999277	-1.0712766772	0.613385337053	1.02490286087	0.185756576603	1.3368640452	-0.48882986952	0.786283438038	-1.03154989469	-0.237524798299	-1.35789888261	0.91480496227	0.637308965556	-1.32001885354	-1.91617244438	0.786825316497	-1.07731771855	-0.463363873257	1.30893903252	-0.402815998738	-0.564474479453	-0.0572624878626	-1.67669069701	-0.511756019725	-0.132716380663	-1.44657796531	0.136714366379	-0.454639391854	1.91288303479	3.11183354312	0.390698407125	0.308552077992	-0.421523718569	0.376796503589	0.238816225986	1.0227306177	-0.0041141357177	0.463877102581	0.784835369312	-0.459527761542	1.18590991407	0.87596094742	-0.591774328455	0.165320446078	-1.11437337548	-0.242215239789	0.0295862649153	0.205340176255	-0.0201650920061	-0.669064859094	0.031542264329	0.884733231541	0.171106235058	-1.09681341558	0.559169329682	1.51106557177	-0.598715529496	0.655352818257	0.730381649234	0.108152400524	0.0150372810678	1.00329769393	1.46902524639	0.194962601415	-1.8173568006	0.561489973935	-2.05833239696
g6	0.764017895798	0.929478535115	0.984696843533	1.33976864078	1.53611634345	1.6685544429	1.74908824532	1.9136308662	2.01819356202	2.26682005954	2.28331329245	2.52707403982	2.54011906941	2.57848073576	2.5891263694	2.6212618925	2.82370580784	2.95982502844	3.20256542755	3.22142250221	-0.567051338046	-0.274381534531	1.09402806854	-1.00472034352	0.00997335706373	0.452714608277	2.02880018767	-0.488072031451	0.978602928781	-0.63436890833	-0.414469252632	-0.525070107168	0.281612319274	1.829490893	0.166621610114	0.618450981135	-1.09583080719	1.46555557864	-1.92329160133	-0.410649616139	0.87106749277	1.24515734023	1.32633498742	-0.369806504543	1.21096694393	1.15391163587	-1.29047388124	1.54267861825	1.52567389678	-1.32730784363	0.201346885913	-0.770689756476	0.35938388526	-0.764892097006	-0.513693464503	0.465387563126	-0.987356871021	-0.753800590163	0.0786695233764	0.22633057852	0.116845251234	-1.20433375027	-1.66511009119	-1.47570560541	1.04488561586	-0.339850582564	-1.75550452261	0.0212196329794	-0.478628526934	-0.314192968371	0.785537091481	-0.132641527671	0.100926607674	0.391986026612	-0.0580868263473	0.165223945562	-0.261390158041	0.912348006529	0.352407441778	0.914396393984	-1.02099995076	0.98886435826	-0.786453427843	0.862443945573	0.314574118383	0.898111502224	-0.896828615784	0.709387457934	-1.45381657429	1.23804932201	-0.0847181478906	0.93927709703	0.296847097701	0.224031469839	-0.370821142823	2.23115512245	-1.16475862231	-0.747845326536	0.960701343138	1.51391510565	0.833035511625	-0.511239480231	0.011096119147	-0.922727906458	-0.622340571503	1.04036791726	1.5128985518	0.551042437596	-0.239671584173	0.393951968705	0.0089401644168	1.19446525436	0.387583844155	0.363922467766	1.7276136661	-1.49189755058	-0.264843000262	0.0347069777938	0.586028558344	0.712079908514	-0.882386917966	-1.53005520098	-0.132297456983	-0.963744873668	1.43384061837	0.0885071334119	0.591219463817	-0.582471704889	1.4204641553	-0.149116647548	-0.0993374559653	0.410746304253	-0.471892916154	0.188389369104	0.708148074854	1.68798882116	0.326352684294	0.0159074931827	0.271395457899	0.567139874371	0.1831791036	0.998093869572	-1.12631351364	0.355160420388	-0.308294332204	-0.65814994407	-1.51788403655	0.632419096338	-1.89040657192	0.396301086971
g7	1.19147337314	1.27926294407	1.35341835057	2.01530677332	2.06225232438	2.19497945918	2.21110439341	2.27282778136	2.31384846621	2.32266367728	2.56896856112	2.57042588661	2.63159978516	2.64625663221	2.74980798877	2.79476136514	3.18954550902	3.29510651392	3.68716103419	4.51045889525	1.10655039399	-0.143727974164	-0.0446827540281	-0.50015411091	-1.84828157705	1.61405160847	-1.5592695165	0.482935096559	-1.61092657931	0.767460266165	-0.0223872844033	-0.0518567667851	0.796050584503	-0.470807948696	-0.258960290121	-0.922286001099	-0.252368280201	0.9461948728	0.319773996558	0.105876234468	-1.18309389758	-0.916227767848	-0.305003855292	-0.403060325609	-0.411978117867	1.64488827437	-0.794459629267	-1.61334036644	0.484590147313	1.35147639569	0.429994612942	1.42956119741	-0.0752442369784	-0.212106204095	0.306088865565	0.513465600607	0.921444998028	-0.50759917055	0.691991733669	0.325462717386	-1.26095138396	0.76457651582	0.834687749756	0.164959943335	-0.00923911072737	0.238194173213	-0.501661813981	-1.03375850415	-0.403456626021	-1.7959766605	0.867310632385	0.943513405322	-1.92534269747	-0.0515786230251	0.797844706488	0.823602559081	-0.575814972046	1.94798715619	-0.22003993143	0.115962158627	0.910445651658	-0.217788166483	-1.01354415627	0.984821364607	1.40496539349	1.20227290073	-0.474190867852	0.723665035373	0.00334564624179	-1.2618829237	1.91147527569	0.456961785452	0.147384430208	-0.365194990832	-1.449515058	1.42429913226	-0.359339869917	1.171115918	0.485620170392	1.38647166372	1.1161228583	0.89241401085	1.04458966626	0.48855019644	-0.453301254121	0.8840446179	-0.508438151656	-1.35444702023	0.665749347296	0.130247211362	-1.32460618882	0.188831346794	0.916977732668	2.24114604078	0.343324365145	1.67272445096	-1.21364593028	-0.0373221626726	1.7352903074	0.353411470469	-0.675913785526	-2.60675125597	0.00708770277322	0.371982599766	1.86687641835	0.0163004586551	0.164930542671	-1.10456593359	-0.174860288313	-0.521350030204	-1.53532368402	-1.92709217319	-0.153398189436	0.586121366091	-0.126276535583	-0.305087551479	-0.1490185162	0.734628416329	0.458022342188	-0.252700303816	0.646890290092	-0.473279262183	-0.900615033676	-0.82267525182	0.293214877337	-0.312096726075	0.778693749996	1.49930618711	0.0384434828922	-0.113381819994
g8	-1.12558732432	0.661185139922	1.16239230925	1.21514944327	1.51514026344	1.61700395186	1.67826254878	1.83585300669	1.93542863124	2.0166081208	2.04325084977	2.14601988633	2.30495212845	2.36570225366	2.59126103617	2.59503634196	2.82108530673	2.85198739135	3.75537007638	3.90432925092	-1.62564332242	-0.663434552765	-0.846243369848	-0.193043044591	-1.10089418776	0.192787041918	-0.798071687678	0.75840961789	0.978050507716	-0.235239263995	0.450555865125	-1.55311145371	-1.58262661245	0.268698826842	0.653921285422	-1.04198450399	0.559465393825	0.0412734405863	0.0512738267785	0.957562878515	-0.514468431054	0.457068902588	0.682238749126	-0.352166239021	0.127688252639	-0.696304951481	1.55516055592	-0.775821160906	0.541181447589	-0.48210708168	1.08262048464	1.55214942847	-0.3409780307	-0.0264662657161	0.289757392426	-0.464310676215	-0.600874649711	-0.526629472579	0.287441324443	0.43983620486	-0.026380760379	-0.226708818703	-0.27537481797	0.257503575214	0.886051048032	-2.20579736525	-0.918279543483	-2.66552566017	-0.324228429198	-0.119705297933	0.134518052045	-0.119488115592	0.850374159381	-1.24946963375	0.704910167797	0.525001576338	-1.80659057801	-0.603776766278	-0.224285719	0.675707207164	1.24682173424	-0.33944345171	-0.951033219789	-0.518852334583	-0.756322821299	0.140976458662	1.24560222082	1.23407186329	0.908337707061	1.11003903406	-0.991049201895	1.35193373466	0.262618830062	-0.0669418544816	-0.111614227691	-1.19143919933	-0.980661379919	-0.351641688125	0.0298123501479	-1.41212666584	-0.209452664808	-0.743883019716	-0.190463494514	-0.618042527186	-1.02465974664	-0.107198925427	0.327780267754	-0.0907202517867	1.77505786046	-0.891513953619	-0.0825369206436	-0.4502015067	0.868179878164	1.19727997812	2.64219283788	1.02863621623	-0.837974712517	-0.598988062638	-0.245466958702	0.179787753946	0.535020919499	-0.192265528489	1.7303607755	-0.37331041564	-0.853659600639	-0.122113801331	0.0556940118953	0.573077295495	2.44789807814	-0.542904253327	-0.0493506338382	-0.246474970528	-0.366719688881	1.76105378504	0.726381941678	-1.1181232775	-3.01211479411	-0.509516365355	1.07506398745	-0.497034579841	1.29680122002	-1.10721147169	0.104103776965	-1.1776919524	1.81099859812	-0.236891264333	1.46579979953	-0.16670953126	0.282271932266	0.916811103086
g9	0.229608344473	0.845595342307	0.873447934559	1.098028329	1.17473948987	1.19258972823	1.42914627463	1.56884052714	1.70900868979	2.22909585785	2.32268021746	2.58235677293	2.65771415118	2.69412338425	2.94924081875	3.39706674826	3.40905189806	3.54960996459	3.59897305892	3.60201617173	-0.516395839126	0.746039962272	-1.98913152119	-0.0785022992201	-0.118333625984	-0.832918586215	0.0755251491213	-0.937549489582	-0.155003305877	-1.79197862058	-0.0859977084901	0.575632958665	-0.00895347908308	-1.94467727385	0.254404661759	0.839150986106	-0.0410974553079	-0.599351584608	-0.0196719801819	-1.27246732269	-0.28983639272	0.536904590632	-0.19316084426	-0.534134786618	0.241333181862	-0.907852652516	-0.542256941	0.298089269908	-1.2480600187	-0.64213045138	1.07114124429	-0.261825542159	0.0989646768604	-0.13883441556	-0.669193099415	-2.45865312657	-1.20742534542	0.125168937364	0.148735069254	-1.58107278145	0.363000540537	0.538551660823	-1.92380747924	1.04091472395	-0.656368728556	0.448100396706	1.47799477888	-0.74247519816	-2.68545758626	-1.35310074086	0.270175405769	0.144366481275	0.497400927563	-0.659759471129	0.139505741179	-1.98471839458	0.241822251663	-0.546386878615	1.41193794136	0.11109595817	-0.189865793928	-0.358564045337	-0.427723688771	0.568077753678	0.884478209987	0.454113416844	0.332079580179	1.48008781191	-0.38546735092	-0.246670059926	-0.305123974177	0.688405377082	-1.11388636724	-0.664119834268	-0.805692468089	-0.876636418787	1.25593576882	0.158934931907	0.644128107984	-1.5770046783	0.530546173915	0.9536344834	-0.087525982617	0.449422239965	0.446974824759	0.679467419315	-0.0898954671593	0.881879924948	0.636596334749	-0.582306070011	-1.42420848926	-1.40094433294	-1.82461793626	-1.32541801578	-1.5540233028	-0.159239210135	0.666437199141	-0.0177799445571	0.579104938774	0.228224826451	2.1207027601	-0.33301105167	-0.577231998772	-1.09564888354	-0.40451595756	0.904116012314	0.367707921197	-1.76111813831	-0.129202041881	-0.63446897876	-2.40206264934	-0.672619903555	0.374788457435	0.400052893748	0.350700318024	0.116760677797	-0.8229970496	-0.954151014666	-0.673083822531	-0.90016614751	0.410378011624	-0.368259498762	-0.0248392559029	-0.0248053348342	0.479167566129	0.970964431402	1.27775690917	1.40913715131	-0.0350246200949	-0.169833348632
